Epochs,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
Training Data,41.03,94.87,92.31,97.44,97.44,97.44,97.44,92.31,89.74,92.31
Test Data,25,75,25,25,75,75,50,50,25,50
